NAME,median_household_income,total_poverty_determined,total_below_poverty,total_education_25plus,bachelors_degree,total_employment_16plus,in_labor_force,unemployed,median_home_value,median_gross_rent,total_occupied_housing,owner_occupied,renter_occupied,total_population,median_age,total_race,white_alone,black_alone,asian_alone,hispanic_or_latino,total_internet_hh,with_internet,state,county,tract,county_name,poverty_rate,unemployment_rate,homeownership_rate,internet_access_rate
Census Tract 1; Fulton County; Georgia,154808,5159,438,4097,1882,4364,2842,60,831500,1707,2458,1545,913,5160,44.8,5160,4439,140,298,90,2458,2443,13,121,000100,Fulton,8.49,2.11,62.86,99.39
Census Tract 233.27; DeKalb County; Georgia,60462,7251,1033,4305,605,5189,3717,419,155600,1343,2103,1178,925,7251,28.3,7251,117,7089,0,31,2103,1980,13,089,023327,DeKalb,14.25,11.27,56.02,94.15
Census Tract 233.28; DeKalb County; Georgia,68614,4689,946,3124,277,3889,2369,193,164500,1623,1685,945,740,4689,36.3,4689,131,4252,0,59,1685,1490,13,089,023328,DeKalb,20.17,8.15,56.08,88.43
Census Tract 233.29; DeKalb County; Georgia,68239,3669,680,2607,877,3058,2326,349,237200,1514,1351,1082,269,3669,42.8,3669,107,3358,29,543,1351,1284,13,089,023329,DeKalb,18.53,15.0,80.09,95.04
Census Tract 233.30; DeKalb County; Georgia,73528,4175,1682,2559,423,2957,1620,166,178200,-666666666,1117,1081,36,4252,33.0,4252,110,4113,0,70,1117,1091,13,089,023330,DeKalb,40.29,10.25,96.78,97.67
Census Tract 233.31; DeKalb County; Georgia,59375,3253,560,2097,333,2570,1817,25,126700,1554,1142,678,464,3256,35.3,3256,115,3141,0,0,1142,1142,13,089,023331,DeKalb,17.21,1.38,59.37,100.0
Census Tract 233.32; DeKalb County; Georgia,64902,2671,145,2116,507,2282,1653,127,131200,1725,952,700,252,2671,49.2,2671,195,2295,44,0,952,763,13,089,023332,DeKalb,5.43,7.68,73.53,80.15
Census Tract 234.10; DeKalb County; Georgia,39500,3440,764,2554,470,2843,2054,97,156400,1236,1528,345,1183,3453,38.2,3453,115,3257,0,14,1528,1286,13,089,023410,DeKalb,22.21,4.72,22.58,84.16
Census Tract 234.11; DeKalb County; Georgia,53783,3292,234,2397,307,2710,1544,108,172700,1045,1491,942,549,3341,47.7,3341,193,3087,32,114,1491,1230,13,089,023411,DeKalb,7.11,6.99,63.18,82.49
Census Tract 234.13; DeKalb County; Georgia,86458,3820,189,2935,737,3296,2016,252,204700,1214,1304,1213,91,3852,42.0,3852,180,3507,0,9,1304,1301,13,089,023413,DeKalb,4.95,12.5,93.02,99.77
Census Tract 234.22; DeKalb County; Georgia,64028,6181,1375,3864,428,4675,3253,217,179900,1547,1829,1349,480,6199,35.5,6199,117,6007,0,11,1829,1623,13,089,023422,DeKalb,22.25,6.67,73.76,88.74
Census Tract 234.24; DeKalb County; Georgia,77284,5434,900,3597,718,4034,2478,209,209400,1591,1485,1207,278,5436,38.1,5436,440,4969,0,265,1485,1440,13,089,023424,DeKalb,16.56,8.43,81.28,96.97
Census Tract 234.25; DeKalb County; Georgia,66742,6240,958,4642,577,5116,3092,558,230600,1321,2106,1720,386,6246,45.8,6246,599,5348,0,471,2106,1997,13,089,023425,DeKalb,15.35,18.05,81.67,94.82
Census Tract 234.26; DeKalb County; Georgia,71192,4184,245,3276,707,3751,2359,360,288200,1384,1572,1250,322,4184,50.0,4184,173,3702,6,84,1572,1469,13,089,023426,DeKalb,5.86,15.26,79.52,93.45
Census Tract 234.27; DeKalb County; Georgia,66250,2994,688,2316,265,2561,1686,145,204200,1684,1008,839,169,2994,44.1,2994,108,2708,11,71,1008,987,13,089,023427,DeKalb,22.98,8.6,83.23,97.92
Census Tract 234.29; DeKalb County; Georgia,50528,4022,1049,2413,239,3163,1950,104,137900,1116,1438,491,947,4028,31.9,4028,9,3946,38,109,1438,1209,13,089,023429,DeKalb,26.08,5.33,34.14,84.08
Census Tract 234.30; DeKalb County; Georgia,42105,4437,1017,2694,580,3370,2672,544,56100,1241,1786,649,1137,4437,28.9,4437,115,4179,0,0,1786,1630,13,089,023430,DeKalb,22.92,20.36,36.34,91.27
Census Tract 234.31; DeKalb County; Georgia,51618,1741,526,1079,94,1326,715,27,183100,1267,677,399,278,1823,37.2,1823,30,1632,0,141,677,580,13,089,023431,DeKalb,30.21,3.78,58.94,85.67
Census Tract 234.32; DeKalb County; Georgia,90770,3653,18,2592,331,3025,1913,27,170200,1623,1188,968,220,3656,48.3,3656,54,3027,0,0,1188,1144,13,089,023432,DeKalb,0.49,1.41,81.48,96.3
Census Tract 234.33; DeKalb County; Georgia,61438,5275,565,3513,618,4466,2547,361,239700,1452,1449,1268,181,5275,45.0,5275,27,3930,0,439,1449,1449,13,089,023433,DeKalb,10.71,14.17,87.51,100.0
Census Tract 234.34; DeKalb County; Georgia,85105,4582,126,3048,380,3900,2733,0,208700,1640,1406,841,565,4588,28.8,4588,563,3879,145,1,1406,1267,13,089,023434,DeKalb,2.75,0.0,59.82,90.11
Census Tract 234.35; DeKalb County; Georgia,74839,3040,398,1956,682,2161,1500,210,-666666666,1433,843,58,785,3040,31.9,3040,137,2879,0,0,843,843,13,089,023435,DeKalb,13.09,14.0,6.88,100.0
Census Tract 234.36; DeKalb County; Georgia,80230,3319,306,2291,359,2579,1711,49,173400,1658,975,708,267,3319,36.4,3319,53,3179,0,98,975,856,13,089,023436,DeKalb,9.22,2.86,72.62,87.79
Census Tract 234.37; DeKalb County; Georgia,83710,7070,1044,4877,1264,5490,3905,329,242900,1505,2324,1969,355,7085,33.7,7085,28,6770,112,72,2324,2173,13,089,023437,DeKalb,14.77,8.43,84.72,93.5
Census Tract 234.38; DeKalb County; Georgia,59930,3769,397,2807,534,3069,2418,194,151700,1094,1639,1299,340,3769,42.1,3769,34,3660,0,16,1639,1495,13,089,023438,DeKalb,10.53,8.02,79.26,91.21
Census Tract 234.39; DeKalb County; Georgia,37602,2671,752,1535,380,1927,1243,76,-666666666,1228,963,315,648,2812,30.2,2812,62,2731,7,0,963,728,13,089,023439,DeKalb,28.15,6.11,32.71,75.6
Census Tract 234.40; DeKalb County; Georgia,78415,3821,217,2429,599,3143,2556,208,319900,1406,1413,496,917,3821,38.3,3821,242,3493,0,0,1413,1413,13,089,023440,DeKalb,5.68,8.14,35.1,100.0
Census Tract 234.41; DeKalb County; Georgia,68793,3160,245,2206,429,2393,1845,93,183800,1460,1230,1028,202,3177,41.1,3177,23,3015,2,60,1230,1025,13,089,023441,DeKalb,7.75,5.04,83.58,83.33
Census Tract 234.42; DeKalb County; Georgia,73017,2922,290,2238,583,2512,1745,127,219700,1393,1096,622,474,2928,49.1,2928,51,2824,0,71,1096,1035,13,089,023442,DeKalb,9.92,7.28,56.75,94.43
Census Tract 234.43; DeKalb County; Georgia,106194,6283,414,4549,1287,5103,3457,202,211100,1774,2103,1692,411,6296,36.9,6296,248,5810,0,276,2103,1953,13,089,023443,DeKalb,6.59,5.84,80.46,92.87
Census Tract 234.44; DeKalb County; Georgia,78605,2037,615,1302,320,1585,1096,63,243100,1291,845,469,376,2072,36.3,2072,297,1599,0,117,845,725,13,089,023444,DeKalb,30.19,5.75,55.5,85.8
Census Tract 234.45; DeKalb County; Georgia,52313,3541,191,2858,420,3170,1482,187,170200,1118,1511,1427,84,3548,50.8,3548,223,2890,0,24,1511,1434,13,089,023445,DeKalb,5.39,12.62,94.44,94.9
Census Tract 234.46; DeKalb County; Georgia,39141,2085,521,1456,262,1610,1015,117,186500,947,869,464,405,2088,37.1,2088,19,2066,0,2,869,782,13,089,023446,DeKalb,24.99,11.53,53.39,89.99
Census Tract 234.47; DeKalb County; Georgia,44158,2784,217,2541,494,2684,1569,265,246800,-666666666,1264,1157,107,2804,55.4,2804,225,2413,3,134,1264,1072,13,089,023447,DeKalb,7.79,16.89,91.53,84.81
Census Tract 234.48; DeKalb County; Georgia,90101,3276,305,2587,714,2764,1573,66,253500,1634,1153,814,339,3276,47.7,3276,74,3076,0,0,1153,1035,13,089,023448,DeKalb,9.31,4.2,70.6,89.77
Census Tract 235.01; DeKalb County; Georgia,53490,3580,384,2653,431,3050,1808,286,262000,1349,1315,672,643,3582,36.8,3582,257,2958,8,71,1315,862,13,089,023501,DeKalb,10.73,15.82,51.1,65.55
Census Tract 235.04; DeKalb County; Georgia,49156,2882,520,2039,360,2406,1476,65,155900,1297,1127,458,669,2882,41.1,2882,260,2321,1,22,1127,1001,13,089,023504,DeKalb,18.04,4.4,40.64,88.82
Census Tract 235.05; DeKalb County; Georgia,60625,2991,350,2182,349,2516,1565,278,199200,1283,937,679,258,2991,39.9,2991,261,2533,28,61,937,836,13,089,023505,DeKalb,11.7,17.76,72.47,89.22
Census Tract 235.06; DeKalb County; Georgia,65642,5874,1477,4291,706,4793,2913,131,182300,1633,1820,1350,470,6126,40.5,6126,571,5326,0,188,1820,1713,13,089,023506,DeKalb,25.14,4.5,74.18,94.12
Census Tract 235.07; DeKalb County; Georgia,56467,3502,689,2444,229,2948,1518,180,148400,1560,1133,845,288,3502,41.4,3502,11,3239,0,250,1133,1049,13,089,023507,DeKalb,19.67,11.86,74.58,92.59
Census Tract 236.01; DeKalb County; Georgia,87292,2733,437,1962,420,2099,1520,107,329900,1500,1084,854,230,2770,37.3,2770,845,1717,40,40,1084,874,13,089,023601,DeKalb,15.99,7.04,78.78,80.63
Census Tract 236.02; DeKalb County; Georgia,54412,2234,414,1616,249,1863,1098,215,255200,1484,738,474,264,2234,37.9,2234,258,1889,7,66,738,605,13,089,023602,DeKalb,18.53,19.58,64.23,81.98
Census Tract 236.03; DeKalb County; Georgia,44714,4117,769,2665,283,3235,2089,446,167600,1294,1412,744,668,4140,37.9,4140,450,3416,0,213,1412,1260,13,089,023603,DeKalb,18.68,21.35,52.69,89.24
Census Tract 237.01; DeKalb County; Georgia,36700,2590,295,2058,720,2067,1729,32,349000,1438,1222,793,429,2590,38.1,2590,767,1680,67,94,1222,1126,13,089,023701,DeKalb,11.39,1.85,64.89,92.14
Census Tract 237.02; DeKalb County; Georgia,45147,2987,643,1882,202,2372,1562,122,297100,1122,1428,541,887,2992,32.0,2992,469,2371,29,86,1428,1199,13,089,023702,DeKalb,21.53,7.81,37.89,83.96
Census Tract 238.01; DeKalb County; Georgia,84329,4961,529,4288,1077,4507,3289,253,292900,1379,2041,1624,417,4965,43.4,4965,1235,2965,16,543,2041,1830,13,089,023801,DeKalb,10.66,7.69,79.57,89.66
Census Tract 238.02; DeKalb County; Georgia,75658,2768,142,2747,884,3101,1486,12,241500,1279,1354,748,606,3357,37.8,3357,882,2003,32,299,1354,1159,13,089,023802,DeKalb,5.13,0.81,55.24,85.6
Census Tract 238.03; DeKalb County; Georgia,65357,5736,1175,4397,760,4694,3181,175,250600,1517,2080,1472,608,5736,39.4,5736,893,4202,45,394,2080,1716,13,089,023803,DeKalb,20.48,5.5,70.77,82.5
Census Tract 9800; DeKalb County; Georgia,-666666666,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,-666666666.0,0,0,0,0,0,0,0,13,089,980000,DeKalb,,,,
Census Tract 501.05; Gwinnett County; Georgia,71250,5422,683,3334,425,4016,2666,170,241800,1094,1734,1034,700,5431,35.9,5431,2766,924,507,1733,1734,1517,13,135,050105,Gwinnett,12.6,6.38,59.63,87.49
Census Tract 501.10; Gwinnett County; Georgia,107500,6478,1307,3946,1043,4659,3135,49,339700,1834,1892,1385,507,6478,32.5,6478,3299,1035,326,1730,1892,1615,13,135,050110,Gwinnett,20.18,1.56,73.2,85.36
Census Tract 501.11; Gwinnett County; Georgia,59318,2516,251,1377,249,1687,1135,0,238000,1393,772,534,238,2611,27.9,2611,1600,256,0,883,772,673,13,135,050111,Gwinnett,9.98,0.0,69.17,87.18
Census Tract 501.12; Gwinnett County; Georgia,91204,4988,644,2983,443,3448,2328,59,278400,1712,1678,1221,457,4988,32.5,4988,4037,306,148,1048,1678,1493,13,135,050112,Gwinnett,12.91,2.53,72.77,88.97
Census Tract 501.13; Gwinnett County; Georgia,72856,6701,407,4042,625,5170,3246,90,287400,1701,1843,1084,759,6701,32.8,6701,2757,1812,669,1981,1843,1663,13,135,050113,Gwinnett,6.07,2.77,58.82,90.23
Census Tract 501.14; Gwinnett County; Georgia,82727,2768,114,1818,603,2131,1374,0,318900,1359,956,807,149,2775,33.7,2775,1807,341,382,375,956,920,13,135,050114,Gwinnett,4.12,0.0,84.41,96.23
Census Tract 501.15; Gwinnett County; Georgia,47454,3111,163,2255,611,2560,1459,12,355900,1112,1149,843,306,3123,42.9,3123,1638,391,149,977,1149,828,13,135,050115,Gwinnett,5.24,0.82,73.37,72.06
Census Tract 501.16; Gwinnett County; Georgia,142500,8107,219,4824,1460,5409,3725,213,534000,2154,2298,2076,222,8107,41.0,8107,5012,618,2129,304,2298,2257,13,135,050116,Gwinnett,2.7,5.72,90.34,98.22
Census Tract 501.17; Gwinnett County; Georgia,111146,3814,46,2476,606,2954,2003,48,322600,1983,1261,1087,174,3814,36.6,3814,2308,477,537,300,1261,1157,13,135,050117,Gwinnett,1.21,2.4,86.2,91.75
Census Tract 501.18; Gwinnett County; Georgia,112356,2517,263,1716,433,2076,1448,153,337900,1444,836,470,366,2517,36.7,2517,1504,208,190,594,836,700,13,135,050118,Gwinnett,10.45,10.57,56.22,83.73
Census Tract 501.19; Gwinnett County; Georgia,94402,5103,70,3162,687,3494,2608,57,366400,1361,1533,1093,440,5108,37.0,5108,2548,1157,702,1045,1533,1340,13,135,050119,Gwinnett,1.37,2.19,71.3,87.41
Census Tract 501.20; Gwinnett County; Georgia,127550,2393,161,1458,548,1765,1259,0,387200,-666666666,749,715,34,2393,34.6,2393,1761,133,257,236,749,749,13,135,050120,Gwinnett,6.73,0.0,95.46,100.0
Census Tract 501.21; Gwinnett County; Georgia,100729,6623,319,4640,1374,5362,3774,156,293000,1660,2143,2018,125,6632,36.0,6632,3888,1177,766,894,2143,1932,13,135,050121,Gwinnett,4.82,4.13,94.17,90.15
Census Tract 502.05; Gwinnett County; Georgia,90137,5028,372,3612,987,4192,2776,53,270400,1671,1925,906,1019,5039,33.3,5039,1566,1335,883,720,1925,1860,13,135,050205,Gwinnett,7.4,1.91,47.06,96.62
Census Tract 502.15; Gwinnett County; Georgia,56655,2935,589,2056,662,2382,1585,88,331000,1604,1246,254,992,2935,33.7,2935,629,878,1046,548,1246,1141,13,135,050215,Gwinnett,20.07,5.55,20.39,91.57
Census Tract 502.18; Gwinnett County; Georgia,70837,4332,723,3018,817,3609,2452,111,282300,1743,1761,987,774,4360,38.8,4360,1744,502,1180,1083,1761,1468,13,135,050218,Gwinnett,16.69,4.53,56.05,83.36
Census Tract 502.19; Gwinnett County; Georgia,92683,4238,367,3130,862,3503,2543,171,294300,1433,1690,1049,641,4288,43.0,4288,1986,1061,894,656,1690,1629,13,135,050219,Gwinnett,8.66,6.72,62.07,96.39
Census Tract 502.21; Gwinnett County; Georgia,79316,4303,234,2872,1598,3261,2190,36,248500,1722,1623,734,889,4303,34.8,4303,1254,1122,1115,1263,1623,1341,13,135,050221,Gwinnett,5.44,1.64,45.22,82.62
Census Tract 502.22; Gwinnett County; Georgia,62236,4679,750,3640,1155,3914,2957,17,303400,1713,2153,1015,1138,4679,42.4,4679,1646,1189,1364,570,2153,2067,13,135,050222,Gwinnett,16.03,0.57,47.14,96.01
Census Tract 502.23; Gwinnett County; Georgia,72015,6658,1345,4136,2014,5465,4620,369,292900,1712,3171,1174,1997,6658,30.6,6658,3514,1035,1562,309,3171,3171,13,135,050223,Gwinnett,20.2,7.99,37.02,100.0
Census Tract 502.24; Gwinnett County; Georgia,119265,3863,118,2473,827,3117,2285,34,389700,1860,1338,853,485,3887,37.1,3887,1901,536,1269,138,1338,1330,13,135,050224,Gwinnett,3.05,1.49,63.75,99.4
Census Tract 502.25; Gwinnett County; Georgia,70373,4121,559,2763,826,3086,2228,84,308400,1693,1838,811,1027,4135,37.6,4135,1905,1014,514,767,1838,1732,13,135,050225,Gwinnett,13.56,3.77,44.12,94.23
Census Tract 502.26; Gwinnett County; Georgia,105346,3728,196,2377,630,3007,2408,81,269500,1727,1337,761,576,3728,33.5,3728,1957,681,572,785,1337,1317,13,135,050226,Gwinnett,5.26,3.36,56.92,98.5
Census Tract 502.27; Gwinnett County; Georgia,123750,2652,384,1821,576,2100,1544,6,627000,1595,892,543,349,2652,41.2,2652,1340,789,238,349,892,876,13,135,050227,Gwinnett,14.48,0.39,60.87,98.21
Census Tract 502.28; Gwinnett County; Georgia,66404,4074,312,3038,416,3208,2604,120,196900,1641,1807,433,1374,4093,36.9,4093,1103,1670,655,683,1807,1566,13,135,050228,Gwinnett,7.66,4.61,23.96,86.66
Census Tract 502.29; Gwinnett County; Georgia,44275,2800,599,1745,405,2137,1563,48,-666666666,1428,1193,43,1150,2800,29.5,2800,522,1390,150,817,1193,972,13,135,050229,Gwinnett,21.39,3.07,3.6,81.48
Census Tract 502.30; Gwinnett County; Georgia,60250,3269,197,2006,460,2303,1941,11,279200,1679,1130,343,787,3269,30.0,3269,510,452,1238,1034,1130,1029,13,135,050230,Gwinnett,6.03,0.57,30.35,91.06
Census Tract 502.31; Gwinnett County; Georgia,79961,4964,345,3398,1273,4087,2987,157,417200,1680,2010,884,1126,4964,32.8,4964,1443,1230,1875,281,2010,1938,13,135,050231,Gwinnett,6.95,5.26,43.98,96.42
Census Tract 502.32; Gwinnett County; Georgia,114489,2141,27,1310,511,1551,1042,14,430200,-666666666,695,671,24,2145,39.1,2145,990,397,690,0,695,677,13,135,050232,Gwinnett,1.26,1.34,96.55,97.41
Census Tract 502.33; Gwinnett County; Georgia,116935,2896,0,2001,635,2164,1432,0,412500,1887,1029,857,172,2896,42.3,2896,924,456,1302,214,1029,955,13,135,050233,Gwinnett,0.0,0.0,83.28,92.81
Census Tract 502.34; Gwinnett County; Georgia,133969,4141,40,2543,993,2978,2172,37,370500,1546,1313,1117,196,4141,35.7,4141,2445,255,627,882,1313,1230,13,135,050234,Gwinnett,0.97,1.7,85.07,93.68
Census Tract 502.35; Gwinnett County; Georgia,111830,5543,695,3911,1590,4636,3685,318,373600,1771,2197,1693,504,5574,43.8,5574,1809,1493,1599,514,2197,2048,13,135,050235,Gwinnett,12.54,8.63,77.06,93.22
Census Tract 502.36; Gwinnett County; Georgia,56080,1952,319,1567,694,1640,889,121,418700,1481,971,480,491,1952,53.2,1952,429,383,903,305,971,929,13,135,050236,Gwinnett,16.34,13.61,49.43,95.67
Census Tract 502.37; Gwinnett County; Georgia,101857,3356,21,2286,970,2762,1356,25,403600,-666666666,1221,1177,44,3356,47.8,3356,1521,516,1180,41,1221,1175,13,135,050237,Gwinnett,0.63,1.84,96.4,96.23
Census Tract 502.38; Gwinnett County; Georgia,113048,4810,305,2954,938,3600,2770,87,1253200,1781,1604,663,941,4810,30.9,4810,1342,1887,1162,365,1604,1604,13,135,050238,Gwinnett,6.34,3.14,41.33,100.0
Census Tract 502.39; Gwinnett County; Georgia,162429,5110,294,3218,1479,3822,2462,57,441700,2483,1446,1390,56,5110,40.2,5110,2268,709,1970,341,1446,1433,13,135,050239,Gwinnett,5.75,2.32,96.13,99.1
Census Tract 502.40; Gwinnett County; Georgia,170939,4733,224,2935,1063,3562,2429,26,377900,-666666666,1340,1288,52,4733,40.0,4733,1857,1000,1504,171,1340,1329,13,135,050240,Gwinnett,4.73,1.07,96.12,99.18
Census Tract 502.41; Gwinnett County; Georgia,118854,3647,172,2367,918,2898,2174,48,365200,2375,1144,1014,130,3647,41.8,3647,2100,532,817,250,1144,1119,13,135,050241,Gwinnett,4.72,2.21,88.64,97.81
Census Tract 502.42; Gwinnett County; Georgia,97269,3744,180,2526,867,2743,1655,40,462000,-666666666,1279,1131,148,3744,43.3,3744,2074,428,1127,433,1279,1279,13,135,050242,Gwinnett,4.81,2.42,88.43,100.0
Census Tract 502.43; Gwinnett County; Georgia,181392,6092,97,3722,1484,4823,3572,257,488500,2236,1853,1741,112,6092,43.4,6092,4209,385,951,231,1853,1831,13,135,050243,Gwinnett,1.59,7.19,93.96,98.81
Census Tract 502.44; Gwinnett County; Georgia,198013,2540,134,1699,748,2116,1332,0,451700,-666666666,854,795,59,2540,40.7,2540,1248,235,519,35,854,854,13,135,050244,Gwinnett,5.28,0.0,93.09,100.0
Census Tract 503.06; Gwinnett County; Georgia,52714,3650,838,2538,265,2903,2225,103,296000,1472,1280,670,610,3686,37.5,3686,1366,174,594,1948,1280,1087,13,135,050306,Gwinnett,22.96,4.63,52.34,84.92
Census Tract 503.08; Gwinnett County; Georgia,173182,3667,54,2394,1043,2923,1887,51,584300,-666666666,1166,1139,27,3667,44.1,3667,2429,470,486,58,1166,1157,13,135,050308,Gwinnett,1.47,2.7,97.68,99.23
Census Tract 503.11; Gwinnett County; Georgia,131250,4230,172,3274,1319,3636,2786,75,493200,1814,1752,1378,374,4277,41.8,4277,1808,1333,537,330,1752,1726,13,135,050311,Gwinnett,4.07,2.69,78.65,98.52
Census Tract 503.15; Gwinnett County; Georgia,60122,6146,905,3769,1032,4833,3647,124,356900,1369,2684,654,2030,6146,28.8,6146,1979,2656,243,1131,2684,2490,13,135,050315,Gwinnett,14.73,3.4,24.37,92.77
Census Tract 503.17; Gwinnett County; Georgia,42196,3535,816,2286,392,2925,2282,63,146600,1383,1881,212,1669,3542,30.5,3542,619,1896,0,933,1881,1624,13,135,050317,Gwinnett,23.08,2.76,11.27,86.34
Census Tract 503.18; Gwinnett County; Georgia,49732,3072,479,1810,384,2171,1717,120,172500,1493,1284,186,1098,3072,27.1,3072,630,1880,225,578,1284,1184,13,135,050318,Gwinnett,15.59,6.99,14.49,92.21
Census Tract 503.21; Gwinnett County; Georgia,164773,5406,126,3639,1355,4161,2296,9,508300,2021,1820,1753,67,5406,46.8,5406,4619,196,341,73,1820,1732,13,135,050321,Gwinnett,2.33,0.39,96.32,95.16
Census Tract 503.22; Gwinnett County; Georgia,183264,4779,80,3055,1335,3504,2272,67,542900,2337,1445,1347,98,4779,39.0,4779,3974,252,250,63,1445,1445,13,135,050322,Gwinnett,1.67,2.95,93.22,100.0
Census Tract 503.23; Gwinnett County; Georgia,152473,4214,56,3069,1220,3595,2345,70,490400,2338,1533,1465,68,4218,49.8,4218,3173,232,467,174,1533,1438,13,135,050323,Gwinnett,1.33,2.99,95.56,93.8
Census Tract 503.24; Gwinnett County; Georgia,73511,4886,229,3353,1013,3876,2567,45,414400,1751,2147,773,1374,4886,31.4,4886,1381,1273,708,1510,2147,1719,13,135,050324,Gwinnett,4.69,1.75,36.0,80.07
Census Tract 503.25; Gwinnett County; Georgia,65625,3728,497,2697,797,3020,1997,132,285900,1955,1423,1081,342,3728,46.1,3728,1430,783,1098,801,1423,1285,13,135,050325,Gwinnett,13.33,6.61,75.97,90.3
Census Tract 503.26; Gwinnett County; Georgia,47048,4541,1694,2627,350,3275,2235,203,266800,1373,1261,520,741,4631,31.6,4631,1162,1691,376,1515,1261,1261,13,135,050326,Gwinnett,37.3,9.08,41.24,100.0
Census Tract 503.27; Gwinnett County; Georgia,52308,3722,530,2229,464,2572,2085,43,276400,1421,1238,600,638,3722,29.4,3722,775,1384,495,1754,1238,1155,13,135,050327,Gwinnett,14.24,2.06,48.47,93.3
Census Tract 503.28; Gwinnett County; Georgia,48105,2954,683,1873,267,2277,1414,7,215300,1305,1082,542,540,2954,32.0,2954,493,369,444,1618,1082,899,13,135,050328,Gwinnett,23.12,0.5,50.09,83.09
Census Tract 503.29; Gwinnett County; Georgia,49375,2361,324,1540,56,1819,1430,13,199700,1534,872,75,797,2385,30.5,2385,383,1050,138,1078,872,627,13,135,050329,Gwinnett,13.72,0.91,8.6,71.9
Census Tract 503.30; Gwinnett County; Georgia,62338,2922,396,1795,269,2120,1369,44,219500,1663,877,575,302,2922,34.2,2922,783,328,611,1469,877,801,13,135,050330,Gwinnett,13.55,3.21,65.56,91.33
Census Tract 503.31; Gwinnett County; Georgia,59400,2167,345,1416,353,1705,1296,111,323500,1462,962,198,764,2167,34.3,2167,557,547,117,1219,962,800,13,135,050331,Gwinnett,15.92,8.56,20.58,83.16
Census Tract 503.32; Gwinnett County; Georgia,54417,2937,528,2010,484,2425,1854,53,250800,1420,1327,278,1049,2937,31.9,2937,667,686,322,1547,1327,1137,13,135,050332,Gwinnett,17.98,2.86,20.95,85.68
Census Tract 503.33; Gwinnett County; Georgia,60098,5254,1176,3345,413,4019,2922,141,226100,1689,1766,350,1416,5254,29.7,5254,1293,1531,527,2314,1766,1455,13,135,050333,Gwinnett,22.38,4.83,19.82,82.39
Census Tract 503.34; Gwinnett County; Georgia,64976,6487,1154,3690,1067,3986,3028,79,238800,1805,1837,791,1046,6487,30.7,6487,2947,399,616,3134,1837,1477,13,135,050334,Gwinnett,17.79,2.61,43.06,80.4
Census Tract 503.35; Gwinnett County; Georgia,83182,2721,353,2087,574,2434,1676,13,419800,1581,1422,563,859,2721,45.6,2721,1390,424,201,638,1422,1398,13,135,050335,Gwinnett,12.97,0.78,39.59,98.31
Census Tract 503.36; Gwinnett County; Georgia,84875,3103,455,2549,916,2598,1809,169,296700,2191,1518,1190,328,3103,43.9,3103,1925,596,449,359,1518,1464,13,135,050336,Gwinnett,14.66,9.34,78.39,96.44
Census Tract 504.15; Gwinnett County; Georgia,84762,4223,545,3216,816,3512,2103,51,277400,1925,1460,1280,180,4223,46.2,4223,1505,1970,216,508,1460,1347,13,135,050415,Gwinnett,12.91,2.43,87.67,92.26
Census Tract 504.16; Gwinnett County; Georgia,75455,3991,374,2337,354,2667,1903,87,195800,1536,1190,835,355,3991,32.6,3991,939,2103,133,520,1190,1126,13,135,050416,Gwinnett,9.37,4.57,70.17,94.62
Census Tract 504.25; Gwinnett County; Georgia,101250,5262,266,3717,1082,4208,2553,140,343900,2135,1782,1540,242,5267,41.8,5267,2407,883,1508,464,1782,1762,13,135,050425,Gwinnett,5.06,5.48,86.42,98.88
Census Tract 504.27; Gwinnett County; Georgia,103206,5982,212,4237,1194,4991,2969,80,309700,1379,1990,1788,202,6079,43.5,6079,3564,898,813,860,1990,1891,13,135,050427,Gwinnett,3.54,2.69,89.85,95.03
Census Tract 504.30; Gwinnett County; Georgia,93093,5822,99,4087,1124,4628,2992,21,270000,1547,1900,1293,607,5822,38.8,5822,2434,1962,1034,222,1900,1738,13,135,050430,Gwinnett,1.7,0.7,68.05,91.47
Census Tract 504.33; Gwinnett County; Georgia,60694,2413,381,1696,411,2027,1344,60,269000,1376,962,450,512,2413,35.3,2413,845,504,220,1051,962,817,13,135,050433,Gwinnett,15.79,4.46,46.78,84.93
Census Tract 504.35; Gwinnett County; Georgia,72065,3076,268,2108,345,2393,1583,61,198100,1529,1172,608,564,3076,38.4,3076,668,711,206,1791,1172,918,13,135,050435,Gwinnett,8.71,3.85,51.88,78.33
Census Tract 504.37; Gwinnett County; Georgia,62691,2666,579,1541,415,2178,1477,42,260800,1409,1153,315,838,2710,28.0,2710,741,1063,430,721,1153,1032,13,135,050437,Gwinnett,21.72,2.84,27.32,89.51
Census Tract 504.38; Gwinnett County; Georgia,50536,4225,906,2541,175,3289,2467,127,172100,1371,1560,623,937,4225,32.1,4225,760,1086,196,2553,1560,1272,13,135,050438,Gwinnett,21.44,5.15,39.94,81.54
Census Tract 504.39; Gwinnett County; Georgia,39808,2924,782,1880,148,2196,1729,239,159600,1409,1222,83,1139,2948,30.2,2948,343,1989,2,706,1222,1016,13,135,050439,Gwinnett,26.74,13.82,6.79,83.14
Census Tract 504.40; Gwinnett County; Georgia,39744,7687,2137,4308,943,5397,2714,48,224400,1449,2086,1309,777,7705,37.0,7705,1453,762,2145,3774,2086,1953,13,135,050440,Gwinnett,27.8,1.77,62.75,93.62
